Nombre;ubicacion;tematica;anio;palabraclave;Latitud;Longitud;link;descripcion;usuario
Exploring the mitigation of compound events in Barcelona: Urban water scarcity, flood risk and reduction of surface temperatures through water-sensitive urban design;Barcelona;urbanismo;2025;;41.38946065055505;2.115740097326558;https://www.sciencedirect.com/science/article/pii/S2212095525000148;Climate change is bringing with it situations where droughts coexist with periods of extreme rainfall in many regions of the world. Surface temperatures are increasing due to more frequent drought periods. In urban areas, the rise in surface temperatures also contributes to the heat island effect.
In this context, the article explores the implementation of water sensitive urban design, which helps to mitigate water scarcity, reduce surface temperatures and cut rainwater runoff in the city of Barcelona.;admin
City PROFILE: “Barcelona: The experience of 40 years of health reports, a health for all policies tool”;Barcelona;ciencias;2025;;41.40620484786226;2.150543597445527;https://www.sciencedirect.com/science/article/pii/S0264275125001623;This article profiles the city of Barcelona, focusing on public health and its 40-year history of Health Reporting, and how these reports help to implement evidence-based policies.;admin
Optimizando la gestión del saneamiento: descubre Giswater. Geoinnova.;Pamplona;tecnologia;2024;;42.80147042466857;-1.646790044889072;https://geoinnova.org/webinar/optimizando-la-gestion-del-saneamiento-descubre-giswater/;Explora con nosotros las características clave de Giswater como una herramienta integral en la gestión de redes de saneamiento y drenaje urbano. A través de casos de éxito, entenderás cómo este software puede ayudar a la gestión hídrica en diversos contextos.;admin
Restauración del río Besòs en Barcelona. Historia y lecciones aprendidas;Barcelona;ambiental;2015;;41.42353597642242;2.224741203691632;https://www.sciencedirect.com/science/article/pii/S2386378115000031;Se describe la recuperación ambiental de un río urbano y torrencial que cruza el área metropolitana de Barcelona. Se repasa su historia, problemas ambientales, limitaciones de la restauración, diseño morfodinámico, estudios técnicos en modelo físico y de transporte sólido, aspectos sociales, y se hace una evaluación de la intervención doce años después de realizada.;admin
Evaluación sísmica de los edificios de mampostería típicos de Barcelona aplicando la metodología Risk-UE;Barcelona;urbanismo;2012;;41.402681434824636;2.1712495366224775;https://www.sciencedirect.com/science/article/pii/S0213131512000211;En este trabajo se realiza un estudio para evaluar la vulnerabilidad y el daño sísmico en edificios de obra de fábrica de ladrillo no reforzada. Se han elegido 3 modelos de edificios representativos del distrito Eixample de Barcelona. El análisis de la vulnerabilidad sísmica se lleva a cabo mediante la metodología Risk-UE. La demanda sísmica se define a partir del espectro de proyecto elástico con 5% de amortiguamiento, definido, en este caso, por el Eurocódigo 8. Las curvas de fragilidad se obtienen a partir de un análisis no lineal, teniendo en cuenta los espectros de capacidad.;admin
Diseño, construcción y explotación de diques de abrigo portuario en España desde finales del siglo xx;Barcelona;urbanismo;2015;;41.347226340375784;2.173996632333605;https://www.sciencedirect.com/science/article/pii/S2386378115000110;El objeto de este artículo es presentar una panorámica del excepcional desarrollo en materia de diques portuarios que ha tenido lugar en España desde finales del siglo xx, presentando algunos de los proyectos más importantes, como son los de los puertos de Gijón, Ferrol, Coruña, Algeciras, Cartagena y Barcelona. Asimismo se incluyen referencias a los ensayos en modelo físico realizados en el CEDEX para el diseño y la construcción de estos diques.;admin
Control y Operación de Estaciones Depuradoras de Aguas Residuales: Modelado y Simulación;Barcelona;urbanismo;2017;EDAR;41.409657057309815;2.222290397387947;https://www.sciencedirect.com/science/article/pii/S1697791217300250;Este trabajo constituye la primera parte de una revisión de la problemática del control y operación de estaciones depuradoras de aguas residuales (EDAR) para el tratamiento de agua residual urbana. En esta primera parte nos centramos en el modelado y simulación mientras que la segunda parte se dedica en exclusiva al control y operación. Esta depuración se realiza, mayoritariamente, mediante procesos biológicos, concretamente, mediante el denominado proceso de fangos activados.;admin
Control en Estaciones Depuradoras de Aguas Residuales: Estado actual y perspectivas;Barcelona;urbanismo;2018;EDAR;41.31639424810928;2.1261170968613734;https://www.sciencedirect.com/science/article/pii/S1697791217300407;Este trabajo constituye la segunda parte de una revisión de la problemática del control de estaciones depuradoras de aguas residuales (EDAR) para el tratamiento de agua residual urbana. Después de haber presentado en la primera parte las perspectivas correspondientes al modelado y simulación, en esta segunda parte nos centramos en el control de las mismas. Esta depuración se realiza, mayoritariamente, mediante procesos biológicos, concretamente, mediante el denominado proceso de fangos activados.;admin
test datos;Barcelona;urbanismo;;;41.3797;2.1913;http://localhost:5173/#/center/2.2117,41.3857/zoom/13.9;;admin
